"Rollen bearbeiten","Edit Roles"
"neu","new"
"Name","Name"
"Beschreibung","Description"
"normal","normal"
"mainadmin","mainadmin"
"superadmin","superadmin"
"nur intern","only intern"
"speichern","save"
"zur&uuml;ck","back"
"Rollen","Roles"
"Funktionen","Functions"
"Plugins","Plugins"
"Der Rollenname ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","The rolename is too short, please use at least 5 characters"
"l&ouml;schen","delete"
"Typ","Type"
"Bitte eine Typ aus dem Dropdown verwenden!","Please use a type from the dropdown!"
"Der Rollenname beinhaltet nicht erlaubte Zeichen","The role name does contain illegal characters"
"Historie","History"
"Grunddaten","Basicdata"
"Funktionszuordnung","Funktionszuordnung"