"Userprofil","Userprofil"
"Name","Name"
"Passwort","Passwort"
"Passwort WDHL","Passwort WDHL"
"Vorname","Vorname"
"Nachname","Nachname"
"Email","Email"
"Adminsprache","Adminsprache"
"Bitte ausw&auml;hlen...","Bitte ausw&auml;hlen..."
"Shortcut 1","Shortcut 1"
"keine Auswahl","keine Auswahl"
"Shortcut 2","Shortcut 2"
"Shortcut 3","Shortcut 3"
"Shortcut 4","Shortcut 4"
"Shortcut 5","Shortcut 5"
"speichern","speichern"
"zur&uuml;ck","zur&uuml;ck"
"Userprofil","Userprofil"
"User bearbeiten","User bearbeiten"
"neu","neu"
"l&ouml;schen","l&ouml;schen"
"Info","Info"
"Rolle","Rolle"
"Projektzuordnung","Projektzuordnung"
"alle ausw&auml;hlen","alle ausw&auml;hlen"
"Redakteure","Redakteure"
"Das Passwort ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","Das Passwort ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden"
"Bitte eine korrekte Email-Syntax verwenden","Bitte eine korrekte Email-Syntax verwenden"
"Das Passwort und dessen WDHL stimme nicht &uuml;berein","Das Passwort und dessen WDHL stimme nicht &uuml;berein"
"neuere Version vorhanden%%-comma-%%} Speichern nicht m&ouml;glich (bitte die Seite neu laden)!","neuere Version vorhanden%%-comma-%%} Speichern nicht m&ouml;glich (bitte die Seite neu laden)!"
"Der Username ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","Der Username ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden"
"Bitte w&auml;hlen Sie eine Rolle aus!","Bitte w&auml;hlen Sie eine Rolle aus!"
"Bitte einen anderen Usernamen verwenden%%-comma-%%} dieser existiert bereits","Bitte einen anderen Usernamen verwenden%%-comma-%%} dieser existiert bereits"
"Projekt","Projekt"
"sperren","sperren"
"entsperren","entsperren"
"Name2","Name2"
"Bitte eine Sprache aus dem Dropdown ausw&auml;hlen!","Bitte eine Sprache aus dem Dropdown ausw&auml;hlen!"
"Der Username besitzt eine unerlaubte L&auml;nge%%-comma-%%} bitte zwischen 3 und 255 Zeichen verwenden!","Der Username besitzt eine unerlaubte L&auml;nge%%-comma-%%} bitte zwischen 3 und 255 Zeichen verwenden!"
"Historie","Historie"
"Bitte eine Rolle aus dem Dropdown ausw&auml;hlen!","Bitte eine Rolle aus dem Dropdown ausw&auml;hlen!"
"Das Passwort ist zu einfach%%-comma-%%} bitte Buchstaben%%-comma-%%} Zahlen und Sonderzeichen verwenden!","Das Passwort ist zu einfach%%-comma-%%} bitte Buchstaben%%-comma-%%} Zahlen und Sonderzeichen verwenden!"
"Grunddaten","Grunddaten"
"Shortcuts","Shortcuts"
"Rechte","Rechte"
"Der Vorname besitzt eine unerlaubte L&auml;nge, bitte weniger als 256 Zeichen verwenden!","Der Vorname besitzt eine unerlaubte L&auml;nge, bitte weniger als 256 Zeichen verwenden!"
"Der Nachname besitzt eine unerlaubte L&auml;nge, bitte weniger als 256 Zeichen verwenden!","Der Nachname besitzt eine unerlaubte L&auml;nge, bitte weniger als 256 Zeichen verwenden!"
"Bitte ein schwierigeres Passwort w&auml;hlen","Bitte ein schwierigeres Passwort w&auml;hlen"